#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.95724     1.95724           0
           2     1.57097     1.76411    0.136568
           3     1.42872     1.65231    0.128925
           4     1.39165     1.58715    0.111958
           5     1.38857     1.54743   0.0963533
           6     1.34973     1.51448   0.0857436
           7     1.32742     1.48776   0.0775469
           8      1.3495     1.47048   0.0697527
           9     1.35067     1.45716   0.0632598
          10     1.32957     1.44441   0.0582064
          11     1.32712     1.43374   0.0538826
          12     1.29776     1.42241   0.0505699
          13     1.28021     1.41147   0.0478484
          14     1.30277     1.40371   0.0450563
          15     1.30303       1.397   0.0425494
          16     1.32137     1.39227   0.0401517
          17     1.33899     1.38914    0.037912
          18     1.33324     1.38603   0.0359327
          19     1.28026     1.38046   0.0344701
          20     1.28501     1.37569   0.0330753
          21     1.30341     1.37225   0.0316789
          22     1.31128     1.36948   0.0303599
          23     1.31097     1.36693   0.0291463
          24     1.33409     1.36557    0.027964
          25     1.29755     1.36284   0.0269774
          26     1.31397     1.36096   0.0260052
          27     1.29789     1.35863   0.0251468
          28     1.33229     1.35769   0.0242663
          29     1.29406     1.35549   0.0235285
          30       1.277     1.35288   0.0228892
