#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.93587     2.93587           0
           2     2.35646     2.64616    0.204852
           3     2.14308     2.47847    0.193387
           4     2.08747     2.38072    0.167937
           5     2.08286     2.32115     0.14453
           6     2.02459     2.27172    0.128615
           7     1.99114     2.23164     0.11632
           8     2.02425     2.20571    0.104629
           9     2.02601     2.18575   0.0948897
          10     1.99436     2.16661   0.0873095
          11     1.99068     2.15061   0.0808239
          12     1.94664     2.13362   0.0758549
          13     1.92031     2.11721   0.0717726
          14     1.95415     2.10556   0.0675844
          15     1.95455     2.09549   0.0638242
          16     1.98206      2.0884   0.0602276
          17     2.00849      2.0837    0.056868
          18     1.99987     2.07905    0.053899
          19     1.92038     2.07069   0.0517051
          20     1.92752     2.06354   0.0496129
          21     1.95511     2.05837   0.0475183
          22     1.96692     2.05422   0.0455398
          23     1.96646      2.0504   0.0437194
          24     2.00113     2.04835   0.0419459
          25     1.94633     2.04427   0.0404661
          26     1.97096     2.04145   0.0390078
          27     1.94684     2.03794   0.0377202
          28     1.99843     2.03653   0.0363994
          29     1.94109     2.03324   0.0352927
          30     1.91549     2.02932   0.0343338
